Country Name,Regions,ID
Saint Lucia,Latin America and the Caribbean,LCA
Saint Vincent and the Grenadines,Latin America and the Caribbean,VCT
Samoa,Oceania,WSM
San Marino,Europe,SMR
Sao Tome and Principe,Africa,STP
Saudi Arabia,Asia,SAU
Senegal,Africa,SEN
Serbia,Europe,SRB
Seychelles,Africa,SYC
Sierra Leone,Africa,SLE
Singapore,Asia,SGP
Slovakia,Europe,SVK
Slovenia,Europe,SVN
Solomon Islands,Oceania,SLB
Somalia,Africa,SOM
South Africa,Africa,ZAF
South Sudan,Africa,SSD
Spain,Europe,ESP
Sri Lanka,Asia,LKA
Sudan (The),Africa,SDN
Suriname,Latin America and the Caribbean,SUR
Swaziland,Africa,SWZ
Sweden,Europe,SWE
Switzerland,Europe,CHE
Syrian Arab Republic (The),Asia,SYR
Tajikistan,Asia,TJK
Thailand,Asia,THA
The Former Yugoslav Republic of Macedonia,Europe,MKD
Timor-Leste,Asia,TLS
Togo,Africa,TGO
Tokelau,Oceania,TKL
Tonga,Oceania,TON
Trinidad and Tobago,Latin America and the Caribbean,TTO
Tunisia,Africa,TUN
Turkey,Asia,TUR
Turkmenistan,Asia,TKM
Turks and Caicos Islands,Latin America and the Caribbean,TCA
Tuvalu,Oceania,TUV
Uganda,Africa,UGA
Ukraine,Europe,UKR
United Arab Emirates,Asia,ARE
United Kingdom (The),Europe,GBR
United Republic of Tanzania (The),Africa,TZA
United States of America (The),Northern America,USA
Uruguay,Latin America and the Caribbean,URY
Uzbekistan,Asia,UZB
Vanuatu,Oceania,VUT
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,VEN
Viet Nam,Asia,VNM
Virgin Islands (USA),Latin America and the Caribbean,VIR
Wallis and Futuna,Oceania,WLF
West Bank and Gaza,Asia,PSE
Yemen,Asia,YEM
Zambia,Africa,ZMB
Zimbabwe,Africa,ZWE
